calendar_age, ci_lower, mean, ci_upper
8.1822000000e+03, 2.1359824434e-10, 5.2642427089e-07, 3.3539529590e-06
8.1917040000e+03, 2.1530213982e-10, 5.3809078117e-07, 3.4175744953e-06
8.2012080000e+03, 2.2962100587e-10, 5.5008851585e-07, 3.4771765615e-06
8.2107120000e+03, 2.3958747616e-10, 5.6240180219e-07, 3.5347284027e-06
8.2202160000e+03, 2.4556760652e-10, 5.7500873991e-07, 3.6017725561e-06
8.2297200000e+03, 2.5694060874e-10, 5.8787913605e-07, 3.6749615555e-06
8.2392240000e+03, 2.6234502943e-10, 6.0097714326e-07, 3.7427933287e-06
8.2487280000e+03, 2.8033829735e-10, 6.1426934491e-07, 3.8130336185e-06
8.2582320000e+03, 2.8197724144e-10, 6.2773633133e-07, 3.8815879477e-06
8.2677360000e+03, 2.8560150575e-10, 6.4138368636e-07, 3.9529600469e-06
8.2772400000e+03, 2.9988618815e-10, 6.5524796381e-07, 4.0248070957e-06
8.2867440000e+03, 3.0597662176e-10, 6.6939489334e-07, 4.1085345648e-06
8.2962480000e+03, 3.1994639039e-10, 6.8390976282e-07, 4.2045709415e-06
8.3057520000e+03, 3.2772909315e-10, 6.9888225233e-07, 4.2690173410e-06
8.3152560000e+03, 3.3479138506e-10, 7.1438906142e-07, 4.3516620446e-06
8.3247600000e+03, 3.4294024066e-10, 7.3047768065e-07, 4.4256861258e-06
8.3342640000e+03, 3.6131865626e-10, 7.4715446697e-07, 4.5018043207e-06
8.3437680000e+03, 3.7909842335e-10, 7.6438026535e-07, 4.5784173742e-06
8.3532720000e+03, 3.9339129500e-10, 7.8207657426e-07, 4.6571943972e-06
8.3627760000e+03, 3.9869170068e-10, 8.0014342268e-07, 4.7514002764e-06
8.3722800000e+03, 4.0966185136e-10, 8.1848617893e-07, 4.8494618885e-06
8.3817840000e+03, 4.1956411799e-10, 8.3704381909e-07, 4.9483807550e-06
8.3912880000e+03, 4.3181089196e-10, 8.5580868154e-07, 5.0227914458e-06
8.4007920000e+03, 4.5876342922e-10, 8.7482989116e-07, 5.0927013716e-06
8.4102960000e+03, 4.8246943517e-10, 8.9419921604e-07, 5.2508024433e-06
8.4198000000e+03, 4.9777739590e-10, 9.1402578996e-07, 5.3574627711e-06
8.4293040000e+03, 5.1726100485e-10, 9.3441057982e-07, 5.4623254834e-06
8.4388080000e+03, 5.3032713238e-10, 9.5543039958e-07, 5.5356079569e-06
8.4483120000e+03, 5.5066982016e-10, 9.7713582116e-07, 5.6151631839e-06
8.4578160000e+03, 5.8205077639e-10, 9.9956096229e-07, 5.7327699958e-06
8.4673200000e+03, 6.0679459988e-10, 1.0227390786e-06, 5.8473634960e-06
8.4768240000e+03, 6.1099432204e-10, 1.0467173716e-06, 5.9419089962e-06
8.4863280000e+03, 6.5607900569e-10, 1.0715665827e-06, 6.0381816594e-06
8.4958320000e+03, 6.6876974851e-10, 1.0973839938e-06, 6.1887250670e-06
8.5053360000e+03, 7.0867024272e-10, 1.1242909339e-06, 6.3018133616e-06
8.5148400000e+03, 7.2387482986e-10, 1.1524271551e-06, 6.4160599096e-06
8.5243440000e+03, 7.6595546971e-10, 1.1819445981e-06, 6.5286284351e-06
